filetype,size,duration,bitrate
video/avi,148341394,3000200,390653
video/avi,162673930,3300400,389407
video/avi,162673930,3300400,389407
video/avi,147801380,3000080,389247
video/avi,147801380,3000080,389247
video/avi,147603112,3000080,388690
video/avi,147603112,3000080,388690
video/avi,161016310,3300120,385431
video/avi,161016310,3300120,385431
video/avi,146042348,3000040,384545
video/avi,146042348,3000040,384545
video/avi,331545282,6900160,379459
video/avi,143604464,2999840,378067
video/avi,143604464,2999840,378067
video/avi,143554862,3000000,377940
video/avi,143554862,3000000,377940
video/avi,140987476,2999920,371069
video/avi,140987476,2999920,371069
video/avi,140649840,3000160,370186
video/avi,140649840,3000160,370186
video/avi,140410004,2999880,369540
video/avi,140410004,2999880,369540
video/avi,139861844,2999920,368073
video/avi,139861844,2999920,368073
video/avi,153458962,3300120,367119
video/avi,153458962,3300120,367119
video/avi,152422128,3300200,364590
video/avi,152422128,3300200,364590
video/avi,138329242,3000160,363985
video/avi,138329242,3000160,363985
video/avi,138195654,3000320,363570
video/avi,138195654,3000320,363570
video/avi,138073566,3000040,363280
video/avi,138073566,3000040,363280
video/avi,151367288,3300040,362043
video/avi,151367288,3300040,362043
video/avi,137241474,3000040,361076
video/avi,137136436,3000040,360786
video/avi,137136436,3000040,360786
video/avi,150410130,3300080,359724
video/avi,136687240,3000080,359592
video/avi,136687240,3000080,359592
video/avi,149176740,3300120,356730
video/avi,149176740,3300120,356730
video/avi,134165466,2999880,352901
video/avi,134165466,2999880,352901
video/avi,133480474,3000080,351045
video/avi,133480474,3000080,351045
video/avi,133434618,3000040,350930
video/avi,133434618,3000040,350930
video/avi,146653394,3300080,350617
video/avi,146653394,3300080,350617
video/avi,146624088,3300040,350587
video/avi,146624088,3300040,350587
video/avi,146627706,3300160,350546
video/avi,144741816,3300360,345975
video/avi,144741816,3300360,345975
video/avi,131433268,2999920,345592
video/avi,131433268,2999920,345592
video/avi,131318952,2999840,345309
video/avi,131318952,2999840,345309
video/avi,131254986,3000120,345101
video/avi,131254986,3000120,345101
video/avi,131052886,3000120,344563
video/avi,131052886,3000120,344563
video/avi,131005830,3000080,344438
video/avi,131005830,3000080,344438
video/avi,129302154,3000080,339920
video/avi,129302154,3000080,339920
video/avi,141393458,3300040,337884
video/avi,141393458,3300040,337884
video/avi,127841230,3000000,336010
video/avi,127841230,3000000,336010
video/avi,127350256,3000040,334698
video/avi,127350256,3000040,334698
video/avi,125900852,3000040,330838
video/avi,125900852,3000040,330838
video/avi,125491182,3000040,329743
video/avi,125491182,3000040,329743
video/avi,125389660,3000120,329479
video/avi,125389660,3000120,329479
video/avi,125306220,3000080,329253
video/avi,125306220,3000080,329253
video/avi,124933510,3000120,328240
video/avi,124933510,3000120,328240
video/avi,124570836,2999840,327293
video/avi,124570836,2999840,327293
video/avi,136747022,3300000,326610
video/avi,135970002,3300720,324650
video/avi,135970002,3300720,324650
video/avi,135747802,3300080,324217
video/avi,135747802,3300080,324217
video/avi,220811154,5400280,322209
video/avi,220811154,5400280,322209
video/avi,122594020,2999960,322033
video/avi,122594020,2999960,322033
video/avi,134484394,3300360,321078
video/avi,134484394,3300360,321078
video/avi,121672050,2999880,319617
video/avi,121672050,2999880,319617
video/avi,133604602,3300080,318984
video/avi,133604602,3300080,318984
video/avi,121371876,2999840,318778
video/avi,121371876,2999840,318778
video/avi,133507394,3300040,318753
video/avi,133507394,3300040,318753
video/avi,121048368,3000200,317876
video/avi,121048368,3000200,317876
video/avi,120935156,3000080,317609
video/avi,120935156,3000080,317609
video/avi,278122154,6900000,317571
video/avi,278122154,6900000,317571
video/avi,132912486,3300560,317260
video/avi,132912486,3300560,317260
video/avi,120396194,3000040,316174
video/avi,120396194,3000040,316174
video/avi,131754920,3300080,314510
video/avi,131754920,3300080,314510
video/avi,119667312,3000080,314198
video/avi,119667312,3000080,314198
video/avi,131269006,3299840,313333
video/avi,131269006,3299840,313333
video/avi,118973744,3000080,312357
video/avi,118973744,3000080,312357
video/avi,118636396,2999960,311470
video/avi,118636396,2999960,311470
video/avi,130382850,3300080,311174
video/avi,130382850,3300080,311174
video/avi,118475572,3000040,311027
video/avi,118475572,3000040,311027
video/avi,118417500,3000040,310887
video/avi,118417500,3000040,310887
video/avi,118393696,3000080,310820
video/avi,118393696,3000080,310820
video/avi,118328062,2999960,310655
video/avi,118328062,2999960,310655
video/avi,130106706,3300000,310550
video/avi,130106706,3300000,310550
video/avi,129967552,3300000,310192
video/avi,129967552,3300000,310192
video/avi,129744238,3300000,309618
video/avi,129744238,3300000,309618
video/avi,117674106,2999960,308883
video/avi,117674106,2999960,308883
video/avi,117006124,2999960,307119
video/avi,117006124,2999960,307119
video/avi,116537958,3000080,305855
video/avi,116537958,3000080,305855
video/avi,128151410,3300120,305749
video/avi,128151410,3300120,305749
video/avi,116454466,3000040,305644
video/avi,116454466,3000040,305644
video/avi,116451626,3000080,305631
video/avi,116451626,3000080,305631
video/avi,115511832,3000040,303129
video/avi,115511832,3000040,303129
video/avi,115149298,3000040,302171
video/avi,115149298,3000040,302171
video/avi,126115168,3300280,300841
video/avi,126115168,3300280,300841
video/avi,114232560,3000080,299748
video/avi,114232560,3000080,299748
video/avi,113914836,3000080,298898
video/avi,113914836,3000080,298898
video/avi,123922206,3300120,295508
video/avi,123628350,3300000,294807
video/avi,112023744,3000400,293773
video/avi,112023744,3000400,293773
video/avi,123016398,3300000,293303
video/avi,123016398,3300000,293303
video/avi,111580452,3000120,292631
video/avi,111580452,3000120,292631
video/avi,111510656,2999880,292467
video/avi,111510656,2999880,292467
video/avi,111345244,3000080,292014
video/avi,111345244,3000080,292014
video/avi,110818634,2999880,290616
video/avi,110818634,2999880,290616
video/avi,110092176,3000160,288666
video/avi,110092176,3000160,288666
video/avi,242061702,6600160,288515
video/avi,242061702,6600160,288515
video/avi,110022658,2999880,288505
video/avi,110022658,2999880,288505
video/avi,120836504,3300040,288039
video/avi,120836504,3300040,288039
video/avi,109836066,2999760,288021
video/avi,109836066,2999760,288021
video/avi,109792710,3000000,287918
video/avi,109792710,3000000,287918
video/avi,120637726,3300120,287585
video/avi,120637726,3300120,287585
video/avi,109392136,3000120,286806
video/avi,109392136,3000120,286806
video/avi,108962014,2999920,285670
video/avi,108962014,2999920,285670
video/avi,119778664,3300040,285475
video/avi,119778664,3300040,285475
video/avi,108801862,3000120,285228
video/avi,108801862,3000120,285228
video/avi,119166538,3299920,284007
video/avi,119166538,3299920,284007
